marker_id,segment,corner_a,corner_b,length_colmap_units,length_metric_m,scale_m_per_colmap_unit,used_for_scale,scale_abs_dev_from_median
0,side_01,0,1,0.24367070660790632,0.17,0.6976628515037271,yes,0.012582507324192305
0,side_12,1,2,0.2463773773302222,0.17,0.6899984156099982,yes,0.004918071430463411
0,side_23,2,3,0.24462187462607501,0.17,0.694950115396913,yes,0.009869771217378198
0,side_30,3,0,0.24621857625004462,0.17,0.6904434368402745,yes,0.0053630926607397544
0,diag_02,0,2,0.34670136707950616,0.2404163056034262,0.6934391624371459,yes,0.00835881825761109
0,diag_13,1,3,0.34688937522547725,0.2404163056034262,0.6930633301961359,yes,0.007982986016601079
1,side_01,0,1,0.2516206527954672,0.17,0.6756202168276962,yes,0.009460127351838543
1,side_12,1,2,0.2508355423248319,0.17,0.6777348952400457,yes,0.007345448939489074
1,side_23,2,3,0.25224145897830724,0.17,0.6739574084632138,yes,0.011122935716320947
1,side_30,3,0,0.2510937129938065,0.17,0.6770380587115427,yes,0.008042285467992127
1,diag_02,0,2,0.3569776764239566,0.2404163056034262,0.673477142917758,yes,0.01160320126177683
1,diag_13,1,3,0.3542193134564606,0.2404163056034262,0.6787216181338381,yes,0.00635872604569665
2,side_01,0,1,0.24857556504021217,0.17,0.6838966652756036,yes,0.001183678903931229
2,side_12,1,2,0.2485097977831954,0.17,0.6840776561586968,yes,0.0010026880208380273
2,side_23,2,3,0.24796257741928032,0.17,0.6855873243830126,yes,0.0005069802034778359
2,side_30,3,0,0.2488043131153126,0.17,0.6832678978567812,yes,0.0018124463227535692
2,diag_02,0,2,0.3508230901519768,0.2404163056034262,0.6852921382662631,yes,0.0002117940867283341
2,diag_13,1,3,0.3519281698786401,0.2404163056034262,0.6831402717387813,yes,0.0019400724407534486
3,side_01,0,1,0.24673399427366147,0.17,0.6890011264983898,yes,0.003920782318855065
3,side_12,1,2,0.2473040438477853,0.17,0.68741294058513,yes,0.002332596405595244
3,side_23,2,3,0.24612300114510488,0.17,0.6907115515781249,yes,0.005631207398590132
3,side_30,3,0,0.24539677004869623,0.17,0.692755654307371,yes,0.007675310127836177
