marker_id,segment,corner_a,corner_b,length_colmap_units,length_metric_m,scale_m_per_colmap_unit,used_for_scale,scale_abs_dev_from_median
0,side_01,0,1,0.2330662786594905,0.17,0.7294062486335475,yes,0.059257753058225004
0,side_12,1,2,0.21720191251241583,0.17,0.7826818743609468,yes,0.005982127330825704
0,side_23,2,3,0.24151770005091733,0.17,0.7038821583849143,no,0.08478184330685823
0,side_30,3,0,0.20732715228949747,0.17,0.8199601360588971,yes,0.03129613436712453
0,diag_02,0,2,0.3309840300667762,0.2404163056034262,0.7263682950350266,yes,0.062295706656745886
0,diag_13,1,3,0.30513037996788334,0.2404163056034262,0.7879133687990404,yes,0.0007506328927321393
1,side_01,0,1,0.2175497051412818,0.17,0.7814306155441493,yes,0.007233386147623255
1,side_12,1,2,0.2175504196507864,0.17,0.7814280490604676,yes,0.007235952631304943
1,side_23,2,3,0.2180915916568231,0.17,0.779489015181762,yes,0.009174986510010585
1,side_30,3,0,0.21793157204029592,0.17,0.7800613670082035,yes,0.008602634683569033
1,diag_02,0,2,0.3082241970427104,0.2404163056034262,0.780004645677159,yes,0.00865935601461354
1,diag_13,1,3,0.30775112417537037,0.2404163056034262,0.7812036633420264,yes,0.007460338349746132
2,side_01,0,1,0.2150771634185457,0.17,0.7904139951352047,yes,0.001749993443432185
2,side_12,1,2,0.2150141068424705,0.17,0.7906457976013176,yes,0.001981795909545059
2,side_23,2,3,0.21454230380431,0.17,0.7923845180438713,yes,0.0037205163520988016
2,side_30,3,0,0.21526777878960612,0.17,0.7897140991367362,yes,0.001050097444963649
2,diag_02,0,2,0.3035450116360592,0.2404163056034262,0.7920285176409939,yes,0.0033645159492213805
2,diag_13,1,3,0.30448981408794257,0.2404163056034262,0.7895709297322809,yes,0.0009069280405084035
3,side_01,0,1,0.21425148599934382,0.17,0.7934600743003513,yes,0.0047960726085787275
3,side_12,1,2,0.21882204820869772,0.17,0.7768869791304827,yes,0.011777022561289874
3,side_23,2,3,0.21345356508831664,0.17,0.7964261450946595,yes,0.007762143402886945
3,side_30,3,0,0.21781486159981803,0.17,0.7804793426462047,yes,0.008184659045567866
3,diag_02,0,2,0.30777086173122425,0.2404163056034262,0.7811535642168144,yes,0.007510437474958165
3,diag_13,1,3,0.30342553413815376,0.2404163056034262,0.7923403885118033,yes,0.003676386820030797
4,side_01,0,1,0.2161294712773306,0.17,0.7865655664417062,yes,0.002098435250066366
4,side_12,1,2,0.21498909068870317,0.17,0.7907377972315544,yes,0.0020737955397818197
4,side_23,2,3,0.21417910958658978,0.17,0.7937282040631104,yes,0.005064202371337867
4,side_30,3,0,0.21471736715942957,0.17,0.7917384711306258,yes,0.0030744694388532556
4,diag_02,0,2,0.3033642262289545,0.2404163056034262,0.7925005152782242,yes,0.003836513586451651
4,diag_13,1,3,0.304753308770022,0.2404163056034262,0.7888882538264848,yes,0.00022425213471222172
5,side_01,0,1,0.21142038972762994,0.17,0.8040851699261776,yes,0.015421168234405092
5,side_12,1,2,0.2125547041791631,0.17,0.7997941078580242,yes,0.011130106166251652
5,side_23,2,3,0.2109455905569592,0.17,0.8058950156348345,yes,0.017231013943061924
5,side_30,3,0,0.21355621298123517,0.17,0.7960433350395553,yes,0.007379333347782735
5,diag_02,0,2,0.29839800285684825,0.2404163056034262,0.8056900626066259,yes,0.01702606091485337
5,diag_13,1,3,0.30156074543722966,0.2404163056034262,0.797240056078417,yes,0.008576054386644438
6,side_01,0,1,0.21295530213186664,0.17,0.7982895861157392,yes,0.00962558442396666
6,side_12,1,2,0.21455279923240023,0.17,0.7923457564208178,yes,0.0036817547290453057
6,side_23,2,3,0.21270013482682412,0.17,0.7992472601787975,yes,0.010583258487025016
6,side_30,3,0,0.21461980271285538,0.17,0.7920983891101923,yes,0.0034343874184197265
6,diag_02,0,2,0.3027874850247298,0.2404163056034262,0.7940100482811913,yes,0.005346046589418729
6,diag_13,1,3,0.3016658903308542,0.2404163056034262,0.79696218004544,yes,0.008298178353667418
7,side_01,0,1,0.21408954435649538,0.17,0.7940602634798511,yes,0.005396261788078616
7,side_12,1,2,0.2131367588487459,0.17,0.7976099520244736,yes,0.00894595033270107
7,side_23,2,3,0.21480607730370146,0.17,0.7914115007074366,yes,0.0027474990156640677
7,side_30,3,0,0.21234757318315606,0.17,0.8005742540479612,yes,0.0119102523561887
7,diag_02,0,2,0.3021514473807285,0.2404163056034262,0.7956814626821481,yes,0.00701746099037559
7,diag_13,1,3,0.3019833176443265,0.2404163056034262,0.7961244597179589,yes,0.007460458026186334
8,side_01,0,1,0.21221501773175325,0.17,0.8010743151782292,yes,0.012410313486456714
8,side_12,1,2,0.21271463133088403,0.17,0.799192791470747,yes,0.010528789778974423
8,side_23,2,3,0.21048376473082547,0.17,0.8076632428985788,yes,0.018999241206806294
8,side_30,3,0,0.213698967892148,0.17,0.7955115631901297,yes,0.006847561498357191
8,diag_02,0,2,0.29873361400387627,0.2404163056034262,0.804784913157803,yes,0.016120911466030452
