REAL-DATA MARKER LENGTH AND REPROJECTION RESULTS
==========================================================================================================================================

Expected marker edge length: 17.00 cm

METHOD / VARIANT RESULTS
------------------------------------------------------------------------------------------------------------------------------------------
Method / variant     | Status         | Anchor | Cams | Moving | Markers | Marker RMSE [cm] | Marker RMSE [%] | Moving RMSE [px] | Cross-camera RMSE [px] | Cross corners
---------------------+----------------+--------+------+--------+---------+------------------+-----------------+------------------+------------------------+--------------
AP01__baseline       | PARTIAL_1_OF_4 | 14     | 1    | 175    | 19      | 0.1971           | 1.1592          | 0.7252           | 8.2707                 | 32           
AP03_MULTI__baseline | OK             | 14     | 4    | 175    | 19      | 0.1891           | 1.1124          | 0.7003           | 0.7674                 | 92           

AP01__baseline: MARKER RESULTS
------------------------------------------------------------------------------------------------------------------------------------------
Marker | Role         | Estimated length [cm] | Expected length [cm] | Abs error [cm] | Rel error [%] | Moving RMSE [px] | Cross-camera RMSE [px] | Static cams | Cross corners
-------+--------------+-----------------------+----------------------+----------------+---------------+------------------+------------------------+-------------+--------------
0      | validation   | 16.8044               | 17.0000              | 0.1956         | 1.1506        | 0.6938           | NA                     | 0           | 0            
1      | validation   | 17.2651               | 17.0000              | 0.2651         | 1.5593        | 1.7359           | 16.7932                | 1           | 4            
2      | validation   | 16.9614               | 17.0000              | 0.0386         | 0.2272        | 0.4846           | 9.3016                 | 1           | 4            
3      | validation   | 17.0279               | 17.0000              | 0.0279         | 0.1642        | 0.6363           | NA                     | 0           | 0            
4      | validation   | 17.1083               | 17.0000              | 0.1083         | 0.6372        | 0.4751           | NA                     | 0           | 0            
5      | validation   | 16.7685               | 17.0000              | 0.2315         | 1.3619        | 0.5572           | 7.6725                 | 1           | 4            
6      | validation   | 16.9289               | 17.0000              | 0.0711         | 0.4182        | 0.5046           | 3.9506                 | 1           | 4            
7      | validation   | 16.9008               | 17.0000              | 0.0992         | 0.5833        | 0.5183           | 2.9136                 | 1           | 4            
8      | validation   | 16.7789               | 17.0000              | 0.2211         | 1.3004        | 0.8213           | 6.1847                 | 1           | 4            
9      | validation   | 16.9551               | 17.0000              | 0.0449         | 0.2640        | 0.3846           | NA                     | 0           | 0            
10     | validation   | 17.0417               | 17.0000              | 0.0417         | 0.2456        | 0.5355           | NA                     | 0           | 0            
11     | validation   | 17.2988               | 17.0000              | 0.2988         | 1.7577        | 0.6806           | NA                     | 0           | 0            
12     | validation   | 17.1679               | 17.0000              | 0.1679         | 0.9877        | 0.7915           | NA                     | 0           | 0            
13     | validation   | 17.2441               | 17.0000              | 0.2441         | 1.4361        | 0.5943           | NA                     | 0           | 0            
14     | scale anchor | 17.0000               | 17.0000              | 0              | 0             | 0.7019           | 4.4016                 | 1           | 4            
16     | validation   | 16.6776               | 17.0000              | 0.3224         | 1.8964        | 0.7617           | NA                     | 0           | 0            
17     | validation   | 17.1389               | 17.0000              | 0.1389         | 0.8171        | 0.9087           | NA                     | 0           | 0            
18     | validation   | 17.0647               | 17.0000              | 0.0647         | 0.3803        | 0.8899           | NA                     | 0           | 0            
19     | validation   | 17.1175               | 17.0000              | 0.1175         | 0.6909        | 0.6236           | 1.3272                 | 1           | 4            
20     | validation   | 16.5806               | 17.0000              | 0.4194         | 2.4671        | 0.6645           | 7.4650                 | 1           | 4            

AP03_MULTI__baseline: MARKER RESULTS
------------------------------------------------------------------------------------------------------------------------------------------
Marker | Role         | Estimated length [cm] | Expected length [cm] | Abs error [cm] | Rel error [%] | Moving RMSE [px] | Cross-camera RMSE [px] | Static cams | Cross corners
-------+--------------+-----------------------+----------------------+----------------+---------------+------------------+------------------------+-------------+--------------
0      | validation   | 16.7961               | 17.0000              | 0.2039         | 1.1997        | 0.6825           | 0.4865                 | 1           | 4            
1      | validation   | 17.2464               | 17.0000              | 0.2464         | 1.4496        | 1.5718           | 1.1480                 | 1           | 4            
2      | validation   | 16.9062               | 17.0000              | 0.0938         | 0.5516        | 0.4284           | 1.1120                 | 2           | 8            
3      | validation   | 17.0316               | 17.0000              | 0.0316         | 0.1861        | 0.6159           | 0.6519                 | 1           | 4            
4      | validation   | 17.1024               | 17.0000              | 0.1024         | 0.6025        | 0.5019           | 0.7085                 | 1           | 4            
5      | validation   | 16.7834               | 17.0000              | 0.2166         | 1.2744        | 0.5508           | 0.5181                 | 2           | 8            
6      | validation   | 16.9488               | 17.0000              | 0.0512         | 0.3014        | 0.5209           | 0.5633                 | 2           | 8            
7      | validation   | 16.9212               | 17.0000              | 0.0788         | 0.4635        | 0.5204           | 1.0269                 | 3           | 12           
8      | validation   | 16.8007               | 17.0000              | 0.1993         | 1.1724        | 0.8257           | 0.6625                 | 2           | 8            
9      | validation   | 16.9598               | 17.0000              | 0.0402         | 0.2363        | 0.3889           | 0.4943                 | 1           | 4            
10     | validation   | 17.0330               | 17.0000              | 0.0330         | 0.1939        | 0.5225           | 0.5115                 | 1           | 4            
11     | validation   | 17.2787               | 17.0000              | 0.2787         | 1.6396        | 0.6423           | 0.3095                 | 1           | 4            
12     | validation   | 17.1465               | 17.0000              | 0.1465         | 0.8617        | 0.8044           | 0.6933                 | 1           | 4            
13     | validation   | 17.2217               | 17.0000              | 0.2217         | 1.3040        | 0.6697           | 0.7608                 | 1           | 4            
14     | scale anchor | 17.0000               | 17.0000              | 0              | 0             | 0.6724           | 0.5538                 | 2           | 8            
16     | validation   | 16.6736               | 17.0000              | 0.3264         | 1.9202        | 0.7427           | 0.5665                 | 1           | 4            
17     | validation   | 17.1251               | 17.0000              | 0.1251         | 0.7360        | 0.6677           | NA                     | 0           | 0            
18     | validation   | 17.0633               | 17.0000              | 0.0633         | 0.3726        | 0.8785           | NA                     | 0           | 0            
19     | validation   | 17.1256               | 17.0000              | 0.1256         | 0.7386        | 0.6172           | 0.8743                 | 1           | 4            
20     | validation   | 16.5896               | 17.0000              | 0.4104         | 2.4142        | 0.6369           | 0.7945                 | 1           | 4            
