initialization_algorithm,initialized_type,initialized_id,from_type,from_id,observed_marker_id,observer_id,frame_id,edge_quality,path_length,path_bottleneck_score,pnp_reprojection_rmse_px,area_px2,distance_m
unweighted_first_hit_bfs_diagnostic,observer,cam_edge_1,marker,14,14,cam_edge_1,static,0.4681452516093435,1,0.4681452516093435,0.14203376265054027,652.0,4.570408053475575
unweighted_first_hit_bfs_diagnostic,observer,cam_edge_3,marker,14,14,cam_edge_3,static,0.49693020722356035,1,0.49693020722356035,0.1652401214177915,735.0,4.184488347246913
unweighted_first_hit_bfs_diagnostic,observer,moving_frame_000028,marker,14,14,moving_frame_000028,28,0.46820057956466393,1,0.46820057956466393,0.13784898280398122,920.0,3.807036822830311
unweighted_first_hit_bfs_diagnostic,observer,moving_frame_000029,marker,14,14,moving_frame_000029,29,0.4316239034432506,1,0.4316239034432506,0.27156707202082814,1080.0,3.672286462836058
unweighted_first_hit_bfs_diagnostic,observer,moving_frame_000030,marker,14,14,moving_frame_000030,30,0.4039574014719114,1,0.4039574014719114,0.3709634330959842,1264.0,3.6042989693224428
unweighted_first_hit_bfs_diagnostic,observer,moving_frame_000044,marker,14,14,moving_frame_000044,44,0.5687310674140513,1,0.5687310674140513,0.15246726898292043,3285.0,2.5612479200275367
unweighted_first_hit_bfs_diagnostic,observer,moving_frame_000045,marker,14,14,moving_frame_000045,45,0.5967219061471801,1,0.5967219061471801,0.1527795145274082,3260.0,2.533337985803829
unweighted_first_hit_bfs_diagnostic,observer,moving_frame_000046,marker,14,14,moving_frame_000046,46,0.6284672371943207,1,0.6284672371943207,0.1209228800594736,3161.5,2.475507569870158
unweighted_first_hit_bfs_diagnostic,observer,moving_frame_000047,marker,14,14,moving_frame_000047,47,0.6232964011714677,1,0.6232964011714677,0.27533773114220006,3186.0,2.466118110611349
unweighted_first_hit_bfs_diagnostic,observer,moving_frame_000048,marker,14,14,moving_frame_000048,48,0.6444709705681493,1,0.6444709705681493,0.31653552075400865,3256.5,2.419636498218137
