marker_id,segment,corner_a,corner_b,length_colmap_units,length_metric_m,scale_m_per_colmap_unit,used_for_scale,scale_abs_dev_from_median
0,side_01,0,1,0.24357151853793232,0.17,0.6979469562798052,yes,0.013500414714517461
0,side_12,1,2,0.2463091171583188,0.17,0.6901896363451704,yes,0.005743094779882663
0,side_23,2,3,0.24451091361450028,0.17,0.6952654893270926,yes,0.01081894776180492
0,side_30,3,0,0.24614839835245253,0.17,0.6906402850388735,yes,0.006193743473585811
0,diag_02,0,2,0.3465632181257617,0.2404163056034262,0.6937155850052829,yes,0.009269043439995128
0,diag_13,1,3,0.34678136230904627,0.2404163056034262,0.6932792004812843,yes,0.008832658915996605
1,side_01,0,1,0.252001687761839,0.17,0.6745986565005195,yes,0.009847885064768191
1,side_12,1,2,0.2510395924657132,0.17,0.6771840183863367,yes,0.007262523178951041
1,side_23,2,3,0.2527132059150579,0.17,0.6726993129798705,yes,0.011747228585417213
1,side_30,3,0,0.25124789750592275,0.17,0.676622577492385,yes,0.007823964072902756
1,diag_02,0,2,0.35613501142513065,0.2404163056034262,0.6750706835628496,yes,0.00937585800243812
1,diag_13,1,3,0.35592317336553025,0.2404163056034262,0.6754724715732981,yes,0.008974069991989575
2,side_01,0,1,0.2481744115384418,0.17,0.68500212792352,yes,0.000555586358232274
2,side_12,1,2,0.24807839838291948,0.17,0.685267242565787,yes,0.0008207010004992465
2,side_23,2,3,0.24754419111316664,0.17,0.6867460683910102,yes,0.002299526825722431
2,side_30,3,0,0.24838129334075765,0.17,0.6844315757981609,yes,1.4965767126784435e-05
2,diag_02,0,2,0.3501759052046318,0.2404163056034262,0.6865586753118678,yes,0.002112133746580036
2,diag_13,1,3,0.3513913116063836,0.2404163056034262,0.6841839785519006,yes,0.0002625630133871182
3,side_01,0,1,0.24811383181243127,0.17,0.685169378741111,yes,0.000722837175823221
3,side_12,1,2,0.2508813471573717,0.17,0.6776111573307328,yes,0.006835384234554875
3,side_23,2,3,0.2473998755445291,0.17,0.6871466674177934,yes,0.002700125852505675
3,side_30,3,0,0.2489140109592299,0.17,0.6829667777433575,yes,0.001479763821930269
3,diag_02,0,2,0.35272255615403,0.2404163056034262,0.6816017331719469,yes,0.002844808393340781
3,diag_13,1,3,0.3510676714407715,0.2404163056034262,0.6848147099867233,yes,0.0003681684214356107
4,side_01,0,1,0.2513289397292206,0.17,0.6764043972936677,yes,0.008042144271619978
4,side_12,1,2,0.24849205493070625,0.17,0.6841265007342214,yes,0.0003200408310662928
4,side_23,2,3,0.250225852098107,0.17,0.6793862367720002,yes,0.005060304793287562
4,side_30,3,0,0.2480467494460818,0.17,0.6853546776147257,yes,0.0009081360494379576
4,diag_02,0,2,0.3529947226961461,0.2404163056034262,0.6810762035396598,yes,0.003370338025627917
4,diag_13,1,3,0.35277162450559396,0.2404163056034262,0.681506926585627,yes,0.0029396149796607762
5,side_01,0,1,0.24408351127125502,0.17,0.696482933708191,yes,0.012036392142903307
5,side_12,1,2,0.24538427614990976,0.17,0.6927909264086012,yes,0.008344384843313457
5,side_23,2,3,0.24354146941008956,0.17,0.6980330717876385,yes,0.01358653022235079
5,side_30,3,0,0.2465392513393427,0.17,0.6895453729029453,yes,0.005098831337657539
5,diag_02,0,2,0.3445631982362905,0.2404163056034262,0.6977422627664267,yes,0.013295721201138977
5,diag_13,1,3,0.3480771481332267,0.2404163056034262,0.690698331943948,yes,0.006251790378660305
6,side_01,0,1,0.24611696291312748,0.17,0.6907284974908671,yes,0.006281955925579341
6,side_12,1,2,0.24796899097539288,0.17,0.6855695921143217,yes,0.0011230505490339437
6,side_23,2,3,0.2457941664773833,0.17,0.6916356170545753,yes,0.0071890754892876
6,side_30,3,0,0.24807477154542745,0.17,0.685277261129593,yes,0.000830719564305249
6,diag_02,0,2,0.3500331312848311,0.2404163056034262,0.686838713583924,yes,0.002392172018636285
6,diag_13,1,3,0.3485551599569467,0.2404163056034262,0.6897511017571,yes,0.0053045601918122465
7,side_01,0,1,0.24737046594277587,0.17,0.6872283615269014,yes,0.0027818199616136408
7,side_12,1,2,0.24630473751446846,0.17,0.6902019088853857,yes,0.005755367320097959
7,side_23,2,3,0.2481811836920568,0.17,0.684983436177563,yes,0.0005368946122752405
7,side_30,3,0,0.2453891041939487,0.17,0.6927772957092535,yes,0.00833075414396578
7,diag_02,0,2,0.3491718275453921,0.2404163056034262,0.6885329417711177,yes,0.004086400205829954
7,diag_13,1,3,0.3489124600008012,0.2404163056034262,0.6890447695759393,yes,0.004598228010651573
8,side_01,0,1,0.24504556755971582,0.17,0.6937485207055306,yes,0.009301979140242889
8,side_12,1,2,0.24579975909554483,0.17,0.6916198804487815,yes,0.007173338883493807
8,side_23,2,3,0.24309074548424747,0.17,0.6993273218252407,yes,0.014880780259952986
8,side_30,3,0,0.2470181847094097,0.17,0.6882084418197256,yes,0.0037619002544379
8,diag_02,0,2,0.345180696338605,0.2404163056034262,0.6964940628301817,yes,0.012047521264893946
8,diag_13,1,3,0.34836513685508763,0.2404163056034262,0.690127341024467,yes,0.00568079945917932
9,side_01,0,1,0.2483755604619979,0.17,0.6844473735007855,yes,8.319354978247873e-07
9,side_12,1,2,0.2494450840857366,0.17,0.6815127290364618,yes,0.002933812528825963
9,side_23,2,3,0.24682380389159927,0.17,0.6887504256869044,yes,0.004303884121616641
9,side_30,3,0,0.249521466744189,0.17,0.6813041066894862,yes,0.0031424348758015697
9,diag_02,0,2,0.3515341046334929,0.2404163056034262,0.6839060632654196,yes,0.0005404782998681412
9,diag_13,1,3,0.3513689600634669,0.2404163056034262,0.6842275013706401,yes,0.0002190401946475795
10,side_01,0,1,0.24963298992345517,0.17,0.6809997350595649,yes,0.0034468065057228214
10,side_12,1,2,0.24795632585306634,0.17,0.6856046096631485,yes,0.0011580680978607871
10,side_23,2,3,0.24829541903659058,0.17,0.6846682901344531,yes,0.00022174856916534758
10,side_30,3,0,0.24794033917247899,0.17,0.685648816031263,yes,0.001202274465975317
10,diag_02,0,2,0.3539207191731364,0.2404163056034262,0.6792942390180204,yes,0.0051523025472672845
10,diag_13,1,3,0.34879559159008733,0.2404163056034262,0.6892756428125073,yes,0.0048291012472195805
11,side_01,0,1,0.2512190406427774,0.17,0.6767002993285555,yes,0.007746242236732259
11,side_12,1,2,0.25341360063210877,0.17,0.6708400795219993,yes,0.013606462043288414
11,side_23,2,3,0.2508600116809177,0.17,0.6776687877071143,yes,0.006777753858173474
11,side_30,3,0,0.2533954061960177,0.17,0.6708882475497367,yes,0.013558294015550976
11,diag_02,0,2,0.3582133629475931,0.2404163056034262,0.6711539279973743,yes,0.013292613567913447
11,diag_13,1,3,0.3551792594902395,0.2404163056034262,0.6768872313897962,yes,0.007559310175491496
12,side_01,0,1,0.25144597264982527,0.17,0.6760895718809126,yes,0.00835696968437516
12,side_12,1,2,0.24935928746358726,0.17,0.681747215951699,yes,0.0026993256135887655
12,side_23,2,3,0.25121027480602465,0.17,0.6767239123927864,yes,0.007722629172501327
12,side_30,3,0,0.24884751638299885,0.17,0.6831492733821568,yes,0.0012972681831309174
12,diag_02,0,2,0.35407331621583543,0.2404163056034262,0.6790014796169322,yes,0.0054450619483554785
12,diag_13,1,3,0.35364997803810344,0.2404163056034262,0.679814281163402,yes,0.0046322604018856905
13,side_01,0,1,0.2495616918427846,0.17,0.6811942920594329,yes,0.0032522495058547873
13,side_12,1,2,0.2533530314835244,0.17,0.671000457363997,yes,0.013446084201290676
13,side_23,2,3,0.2500758160686822,0.17,0.6797938428132942,yes,0.004652698751993478
13,side_30,3,0,0.25195089844828916,0.17,0.6747346449129298,yes,0.009711896652357943
13,diag_02,0,2,0.3557152120558856,0.2404163056034262,0.6758673721427887,yes,0.008579169422499033
13,diag_13,1,3,0.3548948950706998,0.2404163056034262,0.6774295966007965,yes,0.007016944964491234
14,side_01,0,1,0.24861212087251525,0.17,0.6837961053683846,yes,0.0006504361969030814
14,side_12,1,2,0.24730125776193615,0.17,0.6874206849511862,yes,0.00297414338589852
14,side_23,2,3,0.2495054315962002,0.17,0.6813478925586204,yes,0.0030986490066673422
14,side_30,3,0,0.24673247141703308,0.17,0.6890053790798455,yes,0.0045588375145577675
14,diag_02,0,2,0.35039444501513056,0.2404163056034262,0.6861304710268584,yes,0.001683929461570699
14,diag_13,1,3,0.3511658203847915,0.2404163056034262,0.6846233079859223,yes,0.0001767664206345776
16,side_01,0,1,0.2451131135988355,0.17,0.6935573438075231,yes,0.009110802242235372
16,side_12,1,2,0.24151648753238197,0.17,0.7038856921816024,yes,0.019439150616314627
16,side_23,2,3,0.24470879555084626,0.17,0.6947032680918775,yes,0.010256726526589821
16,side_30,3,0,0.241854365245489,0.17,0.7029023430172336,yes,0.01845580145194592
16,diag_02,0,2,0.34560925169247153,0.2404163056034262,0.6956304104305412,yes,0.011183868865253466
16,diag_13,1,3,0.3425488791368044,0.2404163056034262,0.7018452555128948,yes,0.01739871394760706
17,side_01,0,1,0.2519604883163704,0.17,0.6747089638377826,yes,0.009737577727505164
17,side_12,1,2,0.24858616777556886,0.17,0.6838674956101386,yes,0.0005790459551491267
17,side_23,2,3,0.25113495403877695,0.17,0.6769268764305539,yes,0.007519665134733788
17,side_30,3,0,0.24837616425698889,0.17,0.6844457096297899,yes,8.319354978247873e-07
17,diag_02,0,2,0.35335608262020485,0.2404163056034262,0.680379700331439,yes,0.004066841233848706
17,diag_13,1,3,0.35380401795253946,0.2404163056034262,0.6795183022361168,yes,0.004928239329170969
