observer_type,observer_id,camera_name,frame_id,image_path,marker_id,marker_length_m,fx,fy,cx,cy,pnp_success,rvec_x,rvec_y,rvec_z,tvec_x_m,tvec_y_m,tvec_z_m,distance_m,center_u,center_v,area_px2,corner0_u,corner0_v,corner1_u,corner1_v,corner2_u,corner2_v,corner3_u,corner3_v
moving,moving_frame_000056,moving_calib_camera,56,results/bus_real_data/ablation/moving_cam/fov/00_prepared_datasets/fov_100deg/raw_images/moving/frame_0056.png,14,0.17,537.0237639534591,537.0237639534591,640.0,360.0,True,1.5624163961158313,1.561558488944692,-0.9236405225426252,0.5054391356475887,1.0129075591467707,1.9416383214031552,2.247534163113458,780.0,641.0,2068.0,797.0,619.0,810.0,663.0,761.0,663.0,752.0,619.0
moving,moving_frame_000055,moving_calib_camera,55,results/bus_real_data/ablation/moving_cam/fov/00_prepared_datasets/fov_100deg/raw_images/moving/frame_0055.png,14,0.17,537.0237639534591,537.0237639534591,640.0,360.0,True,1.57483409783611,1.5751825197016676,-0.9245617122880025,0.5053955045847198,0.9137582054081849,2.054930850036282,2.3050204928451428,772.25,599.5,1735.5,789.0,580.0,800.0,619.0,754.0,619.0,746.0,580.0
moving,moving_frame_000054,moving_calib_camera,54,results/bus_real_data/ablation/moving_cam/fov/00_prepared_datasets/fov_100deg/raw_images/moving/frame_0054.png,14,0.17,537.0237639534591,537.0237639534591,640.0,360.0,True,1.584177290844577,1.5852891436589112,-0.9179038546192724,0.5034067478445707,0.8052053782575742,2.152369066838501,2.3525447189869975,765.75,561.5,1487.5,782.0,544.0,792.0,579.0,748.0,579.0,741.0,544.0
moving,moving_frame_000047,moving_calib_camera,47,results/bus_real_data/ablation/moving_cam/fov/00_prepared_datasets/fov_100deg/raw_images/moving/frame_0047.png,14,0.17,537.0237639534591,537.0237639534591,640.0,360.0,True,1.9926252472854635,1.2619549896620477,-0.622624141759328,-0.2253734662180726,0.356991068359221,2.446093045672771,2.4822584495277886,590.5,438.75,1055.0,601.0,420.0,615.0,445.0,579.0,458.0,567.0,432.0
moving,moving_frame_000056,moving_calib_camera,56,results/bus_real_data/ablation/moving_cam/fov/00_prepared_datasets/fov_100deg/raw_images/moving/frame_0056.png,18,0.17,537.0237639534591,537.0237639534591,640.0,360.0,True,-1.948596262897548,0.4938022453426434,-1.9167454491806772,-1.1976982288789162,-0.014007123244041427,1.5888535485420343,1.9897569815622913,234.0,355.25,2547.0,203.0,343.0,244.0,317.0,263.0,366.0,226.0,395.0
moving,moving_frame_000054,moving_calib_camera,54,results/bus_real_data/ablation/moving_cam/fov/00_prepared_datasets/fov_100deg/raw_images/moving/frame_0054.png,3,0.17,537.0237639534591,537.0237639534591,640.0,360.0,True,-1.9211017649728406,-0.5267675055153097,1.9320879582568358,1.218184173023559,0.5178778387428051,1.8610552436290366,2.2837899980307172,992.25,509.75,1578.5,986.0,474.0,1015.0,510.0,997.0,546.0,971.0,509.0
moving,moving_frame_000064,moving_calib_camera,64,results/bus_real_data/ablation/moving_cam/fov/00_prepared_datasets/fov_100deg/raw_images/moving/frame_0064.png,18,0.17,537.0237639534591,537.0237639534591,640.0,360.0,True,-2.06264804473704,0.4427431157634166,-1.7790999990058927,-1.0560171556847386,0.1486425183844448,1.2872654714742446,1.671621735148824,197.25,422.25,4711.5,151.0,412.0,216.0,374.0,240.0,430.0,182.0,473.0
moving,moving_frame_000059,moving_calib_camera,59,results/bus_real_data/ablation/moving_cam/fov/00_prepared_datasets/fov_100deg/raw_images/moving/frame_0059.png,18,0.17,537.0237639534591,537.0237639534591,640.0,360.0,True,-2.1562239283765616,0.4273934240338522,-1.636805458915201,-0.8250920300590874,-0.08576446639045206,1.7283653996695376,1.9171278925875304,382.75,333.25,1967.5,358.0,320.0,395.0,299.0,406.0,345.0,372.0,369.0
moving,moving_frame_000057,moving_calib_camera,57,results/bus_real_data/ablation/moving_cam/fov/00_prepared_datasets/fov_100deg/raw_images/moving/frame_0057.png,18,0.17,537.0237639534591,537.0237639534591,640.0,360.0,True,-2.006966899934607,0.4726697514956484,-1.8486419330875943,-1.0727656770920384,-0.04339246605740559,1.6403511166543663,1.9604746593533182,287.75,345.75,2253.0,260.0,333.0,298.0,309.0,314.0,357.0,279.0,384.0
moving,moving_frame_000062,moving_calib_camera,62,results/bus_real_data/ablation/moving_cam/fov/00_prepared_datasets/fov_100deg/raw_images/moving/frame_0062.png,18,0.17,537.0237639534591,537.0237639534591,640.0,360.0,True,-2.212198849094276,0.3937637257581574,-1.5691752821592664,-0.763529959093035,-0.03307386144923402,1.6289471293397988,1.7993167116792268,387.25,349.0,2325.0,360.0,335.0,402.0,313.0,413.0,361.0,374.0,387.0
