observer_id,frame_number,marker_ids,marker_count,frame_score,reference_marker_seen,selection_reasons
moving_frame_000001,1,9;10,2,56.26002504860715,False,top_marker_9;top_pair_9_10
moving_frame_000002,2,9;10,2,72.22103616802552,False,top_marker_9;top_pair_9_10
moving_frame_000003,3,9;11,2,123.5151869617645,False,top_marker_11;top_marker_9;top_pair_9_11
moving_frame_000004,4,9;13,2,126.1624977540436,False,top_marker_13;top_marker_9;top_pair_9_13
moving_frame_000005,5,13,1,87.18560827266425,False,top_marker_13
moving_frame_000006,6,9,1,71.42514061034225,False,top_marker_9
moving_frame_000007,7,9;11,2,121.83047131905383,False,top_marker_11;top_marker_9;top_pair_9_11
moving_frame_000008,8,9;11,2,165.7273255766863,False,top_marker_11;top_marker_9;top_pair_9_11
moving_frame_000009,9,9;10;11,3,53.18262844490518,False,top_marker_11;top_marker_9;top_pair_10_11;top_pair_9_10;top_pair_9_11
moving_frame_000010,10,10,1,60.47792872008975,False,top_marker_10
moving_frame_000011,11,10,1,69.6474356718622,False,top_marker_10
moving_frame_000012,12,10,1,43.31728040663532,False,top_marker_10
moving_frame_000013,13,10,1,54.06291460056845,False,top_marker_10
moving_frame_000014,14,10,1,51.59010706130412,False,top_marker_10
moving_frame_000015,15,10,1,69.73226513678334,False,top_marker_10
moving_frame_000016,16,10,1,70.01516190739652,False,top_marker_10
moving_frame_000017,17,10,1,75.03842619091189,False,top_marker_10
moving_frame_000018,18,10;16,2,37.39161429088482,False,top_pair_10_16
moving_frame_000023,23,0;16,2,38.18598576820938,False,top_pair_0_16
moving_frame_000024,24,0;16,2,32.637626588747686,False,top_pair_0_16
moving_frame_000025,25,0;16,2,36.1727200067224,False,top_pair_0_16
moving_frame_000026,26,0;16,2,41.02914990188252,False,top_pair_0_16
moving_frame_000028,28,0;4,2,27.92277988107422,False,top_pair_0_4
moving_frame_000029,29,0;4,2,46.01528065073914,False,top_pair_0_4
moving_frame_000030,30,0;4,2,43.21264265346949,False,top_pair_0_4
moving_frame_000035,35,4,1,73.16818991084635,False,top_marker_4
moving_frame_000037,37,4,1,59.14735260447433,False,top_marker_4
moving_frame_000038,38,4,1,62.188037486364436,False,top_marker_4
moving_frame_000039,39,4,1,96.59446432932113,False,top_marker_4
moving_frame_000040,40,19,1,12.677281418988983,False,top_marker_19
moving_frame_000044,44,3,1,45.69579765841662,False,top_marker_3
moving_frame_000045,45,3,1,39.72181206353098,False,top_marker_3
moving_frame_000046,46,3,1,39.714494082124936,False,top_marker_3
moving_frame_000047,47,3;14,2,77.36880562554875,True,reference_marker_14;top_marker_14;top_marker_3;top_pair_3_14
moving_frame_000048,48,3;14,2,101.35823163201329,True,reference_marker_14;top_marker_14;top_marker_3;top_pair_3_14
moving_frame_000049,49,3;14,2,109.37239148372726,True,reference_marker_14;top_marker_14;top_marker_3;top_pair_3_14
moving_frame_000050,50,14,1,42.10520799340445,True,reference_marker_14;top_marker_14
moving_frame_000051,51,14,1,10.94541441659566,True,reference_marker_14
