marker_id,whitelisted,raw_observations,accepted_observations,rejected_observations,observer_ids,frame_ids,minimum_area_ratio,median_area_ratio,maximum_area_ratio,minimum_pnp_rmse_px,median_pnp_rmse_px,maximum_pnp_rmse_px,reject_reasons,suspicious,suspicious_reasons,automatic_candidate
0,True,1,1,0,cam_edge_5,static,0.0004557291666666667,0.0004557291666666667,0.0004557291666666667,0.022206815739071,0.022206815739071,0.022206815739071,{},True,"fewer_than_two_accepted_observations,no_repeated_observer_or_frame_support",False
1,True,6,6,0,"cam_edge_3,moving_frame_000102,moving_frame_000103,moving_frame_000104,moving_frame_000105,moving_frame_000112","102,103,104,105,112,static",0.0031694878472222224,0.003216145833333333,0.010861545138888888,0.14475940579190633,0.48507124104815913,1.1740162149237718,{},False,,True
2,True,3,3,0,"cam_edge_1,cam_edge_3,moving_frame_000119","119,static",0.001979166666666667,0.004509006076388889,0.007076280381944445,0.20013423151238488,0.3292475173885345,0.8800629144810856,{},False,,True
3,True,2,2,0,"cam_edge_0,cam_edge_3",static,0.0006548394097222222,0.0016718207465277778,0.0026888020833333334,0.2501329859149684,0.2547016834043622,0.25927038089375604,{},False,,True
4,True,2,2,0,"cam_edge_0,cam_edge_3",static,0.0005989583333333333,0.00254150390625,0.004484049479166667,0.17216158635105214,0.22068929732369957,0.269217008296347,{},False,,True
5,True,2,2,0,"cam_edge_1,cam_edge_3",static,0.0006119791666666667,0.0009776475694444446,0.0013433159722222223,0.04261170803064659,0.1591301338814953,0.27564855973234403,{},False,,True
6,True,2,2,0,"cam_edge_1,cam_edge_3",static,0.0008159722222222223,0.0008387586805555556,0.0008615451388888889,0.08252560812659196,0.1218326762726815,0.16113974441877105,{},False,,True
7,True,3,3,0,"cam_edge_0,cam_edge_1,cam_edge_3",static,0.0007980685763888889,0.0009049479166666666,0.0030523003472222223,0.23353963795061633,0.27642109079268934,0.28259155639864,{},False,,True
8,True,2,2,0,"cam_edge_1,cam_edge_3",static,0.0005447048611111111,0.0007630750868055556,0.0009814453125,0.23570796846445147,0.244280205718649,0.25285244297284654,{},False,,True
9,True,1,1,0,cam_edge_5,static,0.0032172309027777776,0.0032172309027777776,0.0032172309027777776,0.12157088885862638,0.12157088885862638,0.12157088885862638,{},True,"fewer_than_two_accepted_observations,no_repeated_observer_or_frame_support",False
10,True,1,1,0,cam_edge_5,static,0.0018088107638888889,0.0018088107638888889,0.0018088107638888889,0.05420012480122187,0.05420012480122187,0.05420012480122187,{},True,"fewer_than_two_accepted_observations,no_repeated_observer_or_frame_support",False
11,True,5,5,0,"cam_edge_5,moving_frame_000013,moving_frame_000015,moving_frame_000016,moving_frame_000166","13,15,16,166,static",0.0023790147569444442,0.0059602864583333335,0.01314453125,0.14639810409751244,0.7179229300453611,1.4059083408812254,{},False,,True
12,True,3,3,0,"cam_edge_5,moving_frame_000019,moving_frame_000167","167,19,static",0.0029893663194444442,0.007078450520833333,0.012364908854166667,0.1563093508496918,0.5638579271707846,1.4870553806573588,{},False,,True
13,True,1,1,0,cam_edge_5,static,0.004247504340277777,0.004247504340277777,0.004247504340277777,0.1485601840087693,0.1485601840087693,0.1485601840087693,{},True,"fewer_than_two_accepted_observations,no_repeated_observer_or_frame_support",False
14,True,2,2,0,"cam_edge_1,cam_edge_3",static,0.0007074652777777778,0.0007524956597222222,0.0007975260416666667,0.14203376265054027,0.1536369420341659,0.1652401214177915,{},False,,True
16,True,5,5,0,"cam_edge_5,moving_frame_000071,moving_frame_000072,moving_frame_000073,moving_frame_000074","71,72,73,74,static",0.0005490451388888888,0.0056396484375,0.006237521701388889,0.02047042461576483,0.5471587307179975,0.6955453290062635,{},False,,True
17,True,4,4,0,"cam_edge_1,cam_edge_5,moving_frame_000148,moving_frame_000149","148,149,static",0.00023220486111111112,0.004056532118055556,0.012784830729166667,0.06811068357868645,0.43290477978466235,0.8292413843042499,{},False,,True
18,True,1,1,0,cam_edge_1,static,0.000576171875,0.000576171875,0.000576171875,0.3045416856590852,0.3045416856590852,0.3045416856590852,{},True,"fewer_than_two_accepted_observations,no_repeated_observer_or_frame_support",False
19,True,2,2,0,"cam_edge_3,moving_frame_000126","126,static",0.002255859375,0.007721354166666667,0.013186848958333334,0.016647152282941655,0.7302744408679354,1.443901729452929,{},False,,True
20,True,2,2,0,"cam_edge_3,moving_frame_000177","177,static",0.0005126953125,0.0067114257812500005,0.01291015625,0.2051228820864619,0.5988436339975971,0.9925643859087324,{},False,,True
