frame,segment,x,y,z,roll,pitch,yaw,image,set_pose_ok,message_counter,image_sha256,capture_attempt
0,0,5.5,0.5,2.2,0.0,0.4,-2.716814693,/workspaces/project/workspace/temporary_runs/simulation_batch_20260815_171111__fov_120deg__light_low_1x__blur_k21_0deg/input_working/fov_120deg__light_low_1x__blur_k21_0deg/bcc4688eb59d/metadata/simulation/moving_route_capture/images/frame_0000.png,True,18,e12f9720042fe26dbe744558c51c000b1ac68d1ea27bad85bd5db370af6eb75c,2
1,0,5.46,0.5,2.2,0.0,0.42000000000000004,-2.8134517544,/workspaces/project/workspace/temporary_runs/simulation_batch_20260815_171111__fov_120deg__light_low_1x__blur_k21_0deg/input_working/fov_120deg__light_low_1x__blur_k21_0deg/bcc4688eb59d/metadata/simulation/moving_route_capture/images/frame_0001.png,True,25,4a3ae51c7414f2c3c04f497a0df039629b07bf28fce838a760ba6f563556f765,2
2,0,5.42,0.5,2.2,0.0,0.44,-2.9100888158,/workspaces/project/workspace/temporary_runs/simulation_batch_20260815_171111__fov_120deg__light_low_1x__blur_k21_0deg/input_working/fov_120deg__light_low_1x__blur_k21_0deg/bcc4688eb59d/metadata/simulation/moving_route_capture/images/frame_0002.png,True,31,3c94d477db63212919241f55ba0957e8da227f8b297e356e11dfafd9272f4f8d,1
3,0,5.38,0.5,2.2,0.0,0.46,-3.0067258772,/workspaces/project/workspace/temporary_runs/simulation_batch_20260815_171111__fov_120deg__light_low_1x__blur_k21_0deg/input_working/fov_120deg__light_low_1x__blur_k21_0deg/bcc4688eb59d/metadata/simulation/moving_route_capture/images/frame_0003.png,True,37,92779dbe94b6a7945a9593c61075392bef0d7700729709b8fb79aac96ccaf0a4,1
4,0,5.34,0.5,2.2,0.0,0.48,-3.1033629386,/workspaces/project/workspace/temporary_runs/simulation_batch_20260815_171111__fov_120deg__light_low_1x__blur_k21_0deg/input_working/fov_120deg__light_low_1x__blur_k21_0deg/bcc4688eb59d/metadata/simulation/moving_route_capture/images/frame_0004.png,True,43,6d8eb9ab1ffa41b029c2a62516e7c8c997a0c387c0aa17deb442cd41ed2b9553,1
5,1,5.3,0.5,2.2,0.0,0.5,-3.2,/workspaces/project/workspace/temporary_runs/simulation_batch_20260815_171111__fov_120deg__light_low_1x__blur_k21_0deg/input_working/fov_120deg__light_low_1x__blur_k21_0deg/bcc4688eb59d/metadata/simulation/moving_route_capture/images/frame_0005.png,True,49,7600fe43e0432f7cc2e6dd4eea940cc56dea76f98e45c6cde318ebe7eb8225ea,1
6,1,5.211111111111111,0.5,2.2,0.0,0.4777777777777778,-3.101868299222222,/workspaces/project/workspace/temporary_runs/simulation_batch_20260815_171111__fov_120deg__light_low_1x__blur_k21_0deg/input_working/fov_120deg__light_low_1x__blur_k21_0deg/bcc4688eb59d/metadata/simulation/moving_route_capture/images/frame_0006.png,True,56,db50858d0c70ceb9beb27993ebb00b182f7c968fe620f513542b9c3856be585e,2
7,1,5.122222222222222,0.5,2.2,0.0,0.45555555555555555,-3.0037365984444446,/workspaces/project/workspace/temporary_runs/simulation_batch_20260815_171111__fov_120deg__light_low_1x__blur_k21_0deg/input_working/fov_120deg__light_low_1x__blur_k21_0deg/bcc4688eb59d/metadata/simulation/moving_route_capture/images/frame_0007.png,True,62,25ad2cf10db83c3cd72bbe3a7bdbb7067816767e8f8083b252bf183b2dd46305,2
8,1,5.033333333333333,0.5,2.2,0.0,0.43333333333333335,-2.9056048976666666,/workspaces/project/workspace/temporary_runs/simulation_batch_20260815_171111__fov_120deg__light_low_1x__blur_k21_0deg/input_working/fov_120deg__light_low_1x__blur_k21_0deg/bcc4688eb59d/metadata/simulation/moving_route_capture/images/frame_0008.png,True,68,f71dc7ef327a733d22e127cb80406366d7a6121b12172e9224e60fec8fa5a060,1
9,1,4.944444444444445,0.5,2.2,0.0,0.4111111111111111,-2.807473196888889,/workspaces/project/workspace/temporary_runs/simulation_batch_20260815_171111__fov_120deg__light_low_1x__blur_k21_0deg/input_working/fov_120deg__light_low_1x__blur_k21_0deg/bcc4688eb59d/metadata/simulation/moving_route_capture/images/frame_0009.png,True,74,48baf7eb738d6d7932fe5d6f968e90e2fbd7ad9f116360019537799ab330cd19,1
